0,NA
1,Mature secondary lowland dry alluvial semideciduous forest
2,Young secondary lowland dry alluvial semideciduous forest
3,Lowland dry alluvial shrubland and woodland
4,Mature secondary lowland dry limestone evergreen forest
5,Mature secondary lowland dry limestone semideciduous forest
6,Young secondary lowland dry limestone semideciduous forest
7,Lowland dry limestone woodland and shrubland
8,Lowland dry limestone shrubland
9,Lowland dry cactus shrubland
10,Coastal dwarf woodland and shrubland
11,Lowland dry limestone cliffside semideciduous forest
12,Lowland dry limestone cliffside shrubland and woodland
13,Mature secondary lowland dry noncalcareous semideciduous forest
14,Young secondary lowland dry noncalcareous semideciduous forest
15,Lowland dry noncalcareous shrubland and woodland
16,Mature secondary dry and moist serpentine semideciduous forest
17,Young secondary dry and moist serpentine semideciduous forest
18,Dry and moist serpentine woodland and shrubland
19,Abandoned dry forest plantation
20,Mature secondary lowland moist alluvial evergreen forest
21,Young secondary lowland moist alluvial evergreen forest
22,Lowland moist alluvial shrubland and woodland
23,Mature secondary moist limestone evergreen and semideciduous forest
24,Young secondary moist limestone evergreen and semideciduous forest
25,Moist limestone shrubland and woodland
26,Mature secondary lowland moist noncalcareous evergreen forest
27,Young secondary lowland moist noncalcareous evergreen forest
28,Lowland moist noncalcareous shrubland and woodland
29,Lowland moist abandoned and active coffee plantations
30,Mature secondary montane wet alluvial evergreen forest
31,Young secondary montane wet alluvial evergreen forest
32,Montane wet alluvial shrubland and woodland
33,Mature secondary montane wet noncalcareous evergreen forest
34,Mature primary Tabonuco and secondary montane wet noncalcareous evergreen forest
35,Mature primary Palo Colorado and secondary montane wet noncalcareous evergreen forest
36,Mature primary Sierra Palm and secondary montane wet noncalcareous evergreen forest
37,Mature primary elfin woodland and secondary montane wet noncalcareous evergreen cloud forest
38,Young secondary montane wet noncalcareous evergreen forest
39,Montane wet noncalcareous evergreen shrubland and woodland
40,Mature secondary montane wet serpentine evergreen forest
41,Young secondary montane wet serpentine evergreen forest
42,Wet serpentine shrubland and woodland
43,Montane wet evergreen abandoned and active coffee plantation
44,Mangrove forest and shrubland
45,Freshwater Pterocarpus swamp
46,Lowland dry riparian forest
47,Lowland dry riparian shrubland and woodland
48,Dry grasslands and pastures
49,Dry cactus grassland and shrubland
50,Moist grasslands and pastures
51,Emergent herbaceous nonsaline wetlands
52,Emergent herbaceous saline wetlands
53,Seasonally flooded herbaceous nonsaline wetlands
54,Seasonally flooded herbaceous saline wetlands
55,Hay and row crops
56,Woody agriculture and plantations: Palm plantations
57,Rocky cliffs and shelves
58,Gravel beaches and stony shoreline
59,Fine to coarse sandy beaches mixed sand and gravel beaches
60,Riparian  and other natural barrens
61,Salt and mudflats
62,Salt production
63,High-density urban development
64,Low-density urban development
65,Artificial barrens
66,Freshwater
67,Salt water
68,Lowland moist riparian forest
69,Lowland moist riparian shrubland and woodland
70,Aquiculture
